	SPU_peptide	diadema.best
OG0000010	SPU_000001, SPU_000672, SPU_001054, SPU_001608, SPU_002423, SPU_002728, SPU_002758, SPU_003200, SPU_004053, SPU_004215, SPU_006219, SPU_008547, SPU_009017, SPU_009890, SPU_010052, SPU_010053, SPU_011843, SPU_013504, SPU_015105, SPU_015768, SPU_016794, SPU_016921, SPU_017129, SPU_017340, SPU_017341, SPU_021447, SPU_022781, SPU_023474, SPU_025007, SPU_025077, SPU_025680, SPU_026921, SPU_027513, SPU_027927, SPU_028485, SPU_028681	TRINITY_DN1175_c0_g2_i1.p1.p1, TRINITY_DN31298_c0_g1_i1.p1.p1
OG0000011	SPU_003688, SPU_014782, SPU_017933, SPU_021136, SPU_021137	TRINITY_DN100355_c1_g1_i1.p1.p1, TRINITY_DN100355_c2_g2_i1.p1.p1, TRINITY_DN100355_c2_g2_i2.p1.p1, TRINITY_DN100355_c2_g2_i3.p1.p1, TRINITY_DN114487_c0_g1_i2.p1.p1, TRINITY_DN131604_c0_g1_i1.p1.p1, TRINITY_DN169470_c0_g1_i1.p1.p1, TRINITY_DN18496_c0_g1_i8.p2.p1, TRINITY_DN18496_c0_g1_i9.p1.p1, TRINITY_DN242768_c0_g1_i1.p1.p1, TRINITY_DN30118_c2_g1_i11.p1.p1, TRINITY_DN31989_c2_g1_i1.p1.p1, TRINITY_DN33395_c0_g1_i1.p1.p1, TRINITY_DN33395_c0_g1_i8.p1.p1, TRINITY_DN341436_c0_g1_i1.p1.p1, TRINITY_DN386908_c0_g1_i1.p1.p1, TRINITY_DN48071_c0_g1_i3.p1.p1, TRINITY_DN52633_c0_g1_i3.p1.p1, TRINITY_DN54424_c0_g1_i9.p1.p1, TRINITY_DN57606_c0_g1_i5.p1.p1, TRINITY_DN74797_c0_g2_i2.p1.p1, TRINITY_DN74797_c0_g2_i5.p1.p1, TRINITY_DN76495_c0_g1_i8.p1.p1, TRINITY_DN76495_c2_g1_i1.p1.p1, TRINITY_DN76495_c2_g1_i2.p1.p1, TRINITY_DN80565_c0_g1_i1.p1.p1, TRINITY_DN80756_c0_g1_i1.p1.p1, TRINITY_DN81966_c0_g2_i2.p2.p1, TRINITY_DN9002_c3_g1_i2.p1.p1, TRINITY_DN9002_c3_g1_i3.p1.p1, TRINITY_DN96945_c0_g1_i1.p1.p1, TRINITY_DN97850_c1_g2_i1.p1.p1, TRINITY_DN97850_c2_g1_i1.p1.p1
OG0000012		TRINITY_DN103292_c2_g1_i1.p1.p1, TRINITY_DN103420_c0_g1_i1.p1.p1, TRINITY_DN103972_c0_g1_i2.p1.p1, TRINITY_DN103972_c0_g2_i3.p1.p1, TRINITY_DN103972_c0_g3_i1.p1.p1, TRINITY_DN113423_c0_g1_i2.p1.p1, TRINITY_DN140098_c0_g1_i2.p1.p1, TRINITY_DN140098_c0_g2_i1.p1.p1, TRINITY_DN171001_c0_g1_i1.p1.p1, TRINITY_DN19132_c0_g1_i4.p1.p1, TRINITY_DN19132_c1_g1_i9.p1.p1, TRINITY_DN19132_c1_g2_i1.p1.p1, TRINITY_DN191873_c0_g3_i1.p1.p1, TRINITY_DN193411_c0_g1_i1.p1.p1, TRINITY_DN23258_c1_g2_i1.p1.p1, TRINITY_DN283388_c0_g1_i1.p1.p1, TRINITY_DN284221_c0_g1_i1.p1.p1, TRINITY_DN306019_c0_g1_i1.p1.p1, TRINITY_DN33439_c1_g1_i1.p1.p1, TRINITY_DN34278_c0_g2_i1.p1.p1, TRINITY_DN34278_c5_g1_i1.p1.p1, TRINITY_DN34278_c7_g1_i1.p1.p1, TRINITY_DN348804_c0_g1_i1.p1.p1, TRINITY_DN38221_c0_g1_i1.p1.p1, TRINITY_DN38221_c1_g1_i1.p1.p1, TRINITY_DN53994_c0_g1_i7.p1.p1, TRINITY_DN57197_c0_g1_i3.p1.p1, TRINITY_DN57197_c1_g1_i4.p1.p1, TRINITY_DN58545_c0_g2_i1.p1.p1, TRINITY_DN59475_c1_g1_i6.p1.p1, TRINITY_DN70093_c0_g1_i1.p1.p1, TRINITY_DN70497_c0_g1_i10.p1.p1, TRINITY_DN72232_c3_g1_i1.p1.p1, TRINITY_DN74150_c0_g1_i1.p1.p1, TRINITY_DN84375_c0_g1_i1.p1.p1, TRINITY_DN93449_c0_g2_i1.p1.p1, TRINITY_DN96570_c0_g1_i2.p1.p1
OG0000013	SPU_015079	TRINITY_DN101969_c0_g1_i1.p1.p1, TRINITY_DN101969_c0_g1_i2.p1.p1, TRINITY_DN11779_c0_g2_i2.p1.p1, TRINITY_DN122972_c0_g1_i2.p1.p1, TRINITY_DN13636_c1_g1_i1.p1.p1, TRINITY_DN157992_c0_g1_i4.p1.p1, TRINITY_DN20638_c1_g2_i6.p1.p1, TRINITY_DN2353_c2_g2_i3.p1.p1, TRINITY_DN2382_c5_g1_i4.p1.p1, TRINITY_DN27011_c0_g1_i3.p1.p1, TRINITY_DN27593_c0_g1_i6.p1.p1, TRINITY_DN28286_c0_g1_i4.p1.p1, TRINITY_DN28779_c0_g1_i10.p1.p1, TRINITY_DN30159_c0_g1_i12.p1.p1, TRINITY_DN30159_c0_g1_i12.p2.p1, TRINITY_DN30245_c0_g1_i4.p1.p1, TRINITY_DN30457_c0_g1_i2.p1.p1, TRINITY_DN3849_c0_g1_i2.p1.p1, TRINITY_DN43988_c0_g1_i2.p1.p1, TRINITY_DN44997_c2_g1_i3.p1.p1, TRINITY_DN49081_c0_g1_i3.p1.p1, TRINITY_DN50928_c0_g1_i3.p1.p1, TRINITY_DN6901_c1_g1_i1.p1.p1, TRINITY_DN71505_c0_g1_i6.p1.p1, TRINITY_DN78497_c0_g1_i4.p1.p1, TRINITY_DN79592_c0_g1_i3.p1.p1, TRINITY_DN8152_c3_g1_i4.p2.p1, TRINITY_DN8152_c3_g1_i6.p1.p1, TRINITY_DN8152_c3_g2_i1.p1.p1, TRINITY_DN84826_c0_g1_i1.p1.p1, TRINITY_DN98174_c0_g1_i7.p1.p1
OG0000014	SPU_000104, SPU_001347, SPU_001348, SPU_003422, SPU_003452, SPU_003946, SPU_003947, SPU_005126, SPU_008322, SPU_009183, SPU_010388, SPU_010389, SPU_011579, SPU_011630, SPU_012670, SPU_013472, SPU_013666, SPU_013827, SPU_014681, SPU_014682, SPU_017970, SPU_019244, SPU_019245, SPU_019588, SPU_020328, SPU_020353, SPU_022165, SPU_022937, SPU_023292, SPU_023690, SPU_026449	TRINITY_DN1028_c0_g1_i3.p1.p1
OG0000015	SPU_002087, SPU_002671, SPU_003144, SPU_005294, SPU_005827, SPU_006418, SPU_007177, SPU_009999, SPU_010709, SPU_010841, SPU_011025, SPU_014015, SPU_014016, SPU_015531, SPU_015664, SPU_015916, SPU_017080, SPU_017203, SPU_017785, SPU_018138, SPU_019716, SPU_019765, SPU_022545, SPU_023379, SPU_024000, SPU_025133, SPU_025839, SPU_026232, SPU_027787, SPU_027907	TRINITY_DN177954_c0_g1_i1.p1.p1, TRINITY_DN40943_c0_g1_i4.p1.p1
OG0000016	SPU_000015, SPU_000309, SPU_000852, SPU_000896, SPU_001423, SPU_001444, SPU_002104, SPU_003934, SPU_006587, SPU_006619, SPU_007348, SPU_007620, SPU_008382, SPU_014183, SPU_014503, SPU_015481, SPU_017245, SPU_018031, SPU_019699, SPU_019700, SPU_020240, SPU_020661, SPU_021370, SPU_021443, SPU_022130, SPU_023628, SPU_023759, SPU_028805	
OG0000017	SPU_000238, SPU_000366, SPU_001565, SPU_002822, SPU_002867, SPU_004191, SPU_005923, SPU_006695, SPU_007047, SPU_008044, SPU_012571, SPU_013691, SPU_015602, SPU_017595, SPU_018424, SPU_019037, SPU_019246, SPU_020433, SPU_020553, SPU_023417, SPU_023579, SPU_023581, SPU_023748, SPU_026754, SPU_027950, SPU_028440, SPU_028648	TRINITY_DN58884_c0_g1_i1.p1.p2
OG0000018	SPU_000993, SPU_005455, SPU_006156, SPU_006962, SPU_006963, SPU_007238, SPU_014116, SPU_014117, SPU_014987, SPU_015713, SPU_016412, SPU_016567, SPU_016568, SPU_016874, SPU_017011, SPU_017706, SPU_019564, SPU_019565, SPU_019566, SPU_019978, SPU_020805, SPU_022671, SPU_024276, SPU_024369, SPU_024759, SPU_025130, SPU_027395	TRINITY_DN55119_c0_g1_i9.p1.p1
OG0000019	SPU_001017, SPU_001018, SPU_001019, SPU_001430, SPU_001431, SPU_001432, SPU_001706, SPU_001790, SPU_001791, SPU_001946, SPU_001947, SPU_007488, SPU_008991, SPU_010481, SPU_011341, SPU_012587, SPU_013418, SPU_013419, SPU_013420, SPU_013421, SPU_013776, SPU_015024, SPU_016034, SPU_020723, SPU_020724, SPU_023921, SPU_026752, SPU_028512	
OG0000020	SPU_002436, SPU_003366, SPU_003715, SPU_005301, SPU_005581, SPU_006229, SPU_007561, SPU_010097, SPU_010667, SPU_013206, SPU_013665, SPU_013952, SPU_013981, SPU_014112, SPU_014495, SPU_014761, SPU_015052, SPU_016783, SPU_017038, SPU_018849, SPU_020916, SPU_021243, SPU_021844, SPU_022294, SPU_024975, SPU_026189, SPU_027858	
OG0000021	SPU_000816, SPU_001015, SPU_001016, SPU_001591, SPU_002272, SPU_004043, SPU_004165, SPU_004872, SPU_005993, SPU_006456, SPU_008029, SPU_008833, SPU_009488, SPU_011827, SPU_014128, SPU_019696, SPU_022412, SPU_023758, SPU_026020, SPU_028060, SPU_028433, SPU_028483, SPU_028595, SPU_028630	
OG0000022	SPU_002900, SPU_003809, SPU_005619, SPU_007298, SPU_007299, SPU_009997, SPU_010016, SPU_011598, SPU_011898, SPU_012267, SPU_015058, SPU_015619, SPU_016480, SPU_017400, SPU_017580, SPU_017822, SPU_017823, SPU_020044, SPU_023749, SPU_023996, SPU_028292, SPU_028293, SPU_028361	
OG0000023	SPU_005363, SPU_009290, SPU_010661, SPU_010662, SPU_012535, SPU_019798	TRINITY_DN125691_c0_g2_i2.p1.p1, TRINITY_DN126250_c0_g1_i1.p1.p1, TRINITY_DN138010_c0_g1_i1.p1.p1, TRINITY_DN172904_c0_g1_i1.p1.p1, TRINITY_DN199699_c0_g1_i1.p1.p1, TRINITY_DN350946_c0_g1_i1.p1.p1, TRINITY_DN374808_c0_g1_i1.p1.p1, TRINITY_DN41229_c0_g1_i16.p1.p1, TRINITY_DN41229_c0_g1_i7.p1.p1, TRINITY_DN41229_c0_g1_i8.p1.p1, TRINITY_DN41229_c0_g1_i9.p1.p1, TRINITY_DN41229_c0_g2_i2.p1.p1, TRINITY_DN41229_c1_g1_i1.p1.p1, TRINITY_DN72211_c0_g1_i1.p1.p1, TRINITY_DN84249_c0_g1_i1.p1.p1, TRINITY_DN85482_c0_g1_i10.p1.p1, TRINITY_DN85482_c0_g1_i12.p1.p1
OG0000024	SPU_013793	TRINITY_DN118606_c0_g1_i1.p1.p1, TRINITY_DN118606_c0_g1_i1.p2.p2, TRINITY_DN15770_c0_g1_i1.p1.p1, TRINITY_DN15770_c0_g1_i6.p1.p1, TRINITY_DN15770_c0_g1_i7.p1.p1, TRINITY_DN205294_c0_g1_i1.p1.p1, TRINITY_DN21269_c0_g1_i10.p1.p1, TRINITY_DN21269_c0_g1_i4.p1.p1, TRINITY_DN227202_c0_g1_i1.p1.p1, TRINITY_DN244289_c0_g1_i1.p1.p1, TRINITY_DN29618_c0_g1_i4.p1.p1, TRINITY_DN307795_c0_g1_i1.p1.p1, TRINITY_DN31533_c0_g1_i3.p1.p1, TRINITY_DN31533_c0_g1_i5.p1.p1, TRINITY_DN35242_c0_g1_i8.p1.p1, TRINITY_DN361418_c0_g1_i1.p1.p1, TRINITY_DN383452_c0_g1_i1.p1.p1, TRINITY_DN385200_c0_g1_i1.p1.p1, TRINITY_DN407760_c0_g1_i1.p1.p1, TRINITY_DN412826_c0_g1_i1.p1.p1, TRINITY_DN42034_c0_g1_i13.p1.p1, TRINITY_DN66622_c0_g1_i3.p1.p1
OG0000025		TRINITY_DN104819_c2_g1_i2.p1.p1, TRINITY_DN119698_c1_g1_i1.p1.p2, TRINITY_DN150870_c0_g1_i1.p1.p1, TRINITY_DN161963_c0_g1_i1.p1.p1, TRINITY_DN164450_c0_g1_i2.p1.p1, TRINITY_DN164450_c0_g2_i2.p1.p1, TRINITY_DN218198_c0_g1_i1.p1.p1, TRINITY_DN258058_c0_g1_i1.p1.p1, TRINITY_DN348754_c0_g1_i1.p1.p1, TRINITY_DN380642_c1_g1_i1.p1.p1, TRINITY_DN416484_c0_g1_i1.p1.p1, TRINITY_DN416900_c0_g1_i1.p1.p1, TRINITY_DN58545_c1_g1_i1.p1.p1, TRINITY_DN61402_c0_g1_i1.p1.p1, TRINITY_DN61402_c1_g1_i1.p1.p1, TRINITY_DN69937_c0_g1_i1.p1.p1, TRINITY_DN70497_c0_g1_i2.p1.p1, TRINITY_DN70497_c0_g2_i1.p1.p1, TRINITY_DN70497_c0_g3_i1.p1.p2, TRINITY_DN70497_c0_g4_i1.p1.p1, TRINITY_DN81256_c0_g1_i3.p1.p1, TRINITY_DN85832_c0_g1_i1.p1.p1, TRINITY_DN93449_c0_g1_i2.p1.p1
